CONTAINER ID   NAME                     CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
ce666b62e3bf   case2-edgeIoTDevSim-18   0.00%     49.04MiB / 500MiB     9.81%     2.28MB / 23.8kB   0B / 0B     21
2f346f57cad8   edge_iot_smart_dev       0.15%     47.33MiB / 31.35GiB   0.15%     2.28MB / 30.7kB   0B / 0B     21
76ca415ccc11   case2-edgeIoTDevSim-12   0.00%     53.17MiB / 500MiB     10.63%    2.28MB / 23.8kB   0B / 0B     21
c03ada9682ff   case2-edgeIoTDevSim-7    0.00%     48.93MiB / 500MiB     9.79%     2.27MB / 25kB     0B / 0B     21
c5662b472df2   cloud_publisher          0.00%     47.04MiB / 31.35GiB   0.15%     2.28MB / 35.6kB   0B / 0B     21
38b1dc53babf   case2-edgeIoTDevSim-20   0.00%     46.77MiB / 500MiB     9.35%     2.28MB / 24.1kB   0B / 0B     21
caa7915fbbc2   edge_subscriber          0.29%     50.35MiB / 31.35GiB   0.16%     2.28MB / 29kB     0B / 0B     21
007e18a28be3   cloud_broker             0.00%     62.36MiB / 31.35GiB   0.19%     2.28MB / 26.6kB   0B / 0B     21
1c594848236f   case2-edgeIoTDevSim-2    0.32%     48.86MiB / 500MiB     9.77%     2.28MB / 24.6kB   0B / 0B     21
bf1e6bccbfef   case2-edgeIoTDevSim-13   0.29%     49.29MiB / 500MiB     9.86%     2.27MB / 25.2kB   0B / 0B     21
185e48e832bc   edge_broker              0.68%     67.35MiB / 31.35GiB   0.21%     2.29MB / 34.3kB   0B / 0B     21
6d60d25435f9   cloud_client             0.00%     47.71MiB / 31.35GiB   0.15%     2.28MB / 26.7kB   0B / 0B     21
031b705475a7   case2-mongodb-1          0.39%     72.91MiB / 31.35GiB   0.23%     5.46kB / 3.43kB   0B / 0B     38
CONTAINER ID   NAME                     CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
4add4c9dae73   edge_data_manager        0.00%     63.93MiB / 31.35GiB   0.20%     2.28MB / 30.8kB   0B / 0B     31
a8cafe55cf25   cloud_server             0.00%     63.87MiB / 31.35GiB   0.20%     2.28MB / 26.8kB   0B / 0B     31
20fe185f5d22   case2-edgeIoTDevSim-19   0.00%     49.2MiB / 500MiB      9.84%     2.28MB / 28.5kB   0B / 0B     21
ed71117b4ac1   case2-edgeIoTDevSim-17   0.00%     49.21MiB / 500MiB     9.84%     2.28MB / 27.9kB   0B / 0B     21
2c0773368753   case2-edgeIoTDevSim-3    0.05%     44.83MiB / 500MiB     8.97%     2.28MB / 26.3kB   0B / 0B     21
78eb8c0e2397   case2-edgeIoTDevSim-14   0.05%     47MiB / 500MiB        9.40%     2.28MB / 24.4kB   0B / 0B     21
c4790df7465f   case2-edgeIoTDevSim-10   0.00%     46.92MiB / 500MiB     9.38%     2.28MB / 24kB     0B / 0B     21
030bd7098d16   case2-edgeIoTDevSim-4    0.00%     49.15MiB / 500MiB     9.83%     2.28MB / 24.3kB   0B / 0B     21
faa093c0e020   case2-edgeIoTDevSim-5    0.00%     49.24MiB / 500MiB     9.85%     2.28MB / 26.2kB   0B / 0B     21
057b9f80db1b   case2-edgeIoTDevSim-15   0.00%     47.07MiB / 500MiB     9.41%     2.28MB / 26.4kB   0B / 0B     21
90dde046e08c   case2-edgeIoTDevSim-11   0.00%     46.88MiB / 500MiB     9.38%     2.28MB / 25.2kB   0B / 0B     21
7e863f54b1ae   case2-edgeIoTDevSim-9    0.00%     48.96MiB / 500MiB     9.79%     2.28MB / 28.7kB   0B / 0B     21
3cc74185ef04   case2-edgeIoTDevSim-6    0.00%     44.89MiB / 500MiB     8.98%     2.28MB / 26.4kB   0B / 0B     21
478f21463995   case2-edgeIoTDevSim-16   0.00%     45.2MiB / 500MiB      9.04%     2.28MB / 23kB     0B / 0B     21
a4eea0cf402a   case2-edgeIoTDevSim-8    0.00%     46.85MiB / 500MiB     9.37%     2.27MB / 25.8kB   0B / 0B     21
e4fe3bab88fc   case2-edgeIoTDevSim-1    0.06%     47.04MiB / 500MiB     9.41%     2.28MB / 26.1kB   0B / 0B     21
ce666b62e3bf   case2-edgeIoTDevSim-18   0.06%     49.06MiB / 500MiB     9.81%     2.28MB / 24kB     0B / 0B     21
2f346f57cad8   edge_iot_smart_dev       0.14%     47.46MiB / 31.35GiB   0.15%     2.28MB / 30.7kB   0B / 0B     21
76ca415ccc11   case2-edgeIoTDevSim-12   0.07%     53.19MiB / 500MiB     10.64%    2.28MB / 24kB     0B / 0B     21
c03ada9682ff   case2-edgeIoTDevSim-7    0.00%     48.93MiB / 500MiB     9.79%     2.27MB / 25kB     0B / 0B     21
c5662b472df2   cloud_publisher          0.05%     47.05MiB / 31.35GiB   0.15%     2.28MB / 35.8kB   0B / 0B     21
38b1dc53babf   case2-edgeIoTDevSim-20   0.00%     46.77MiB / 500MiB     9.35%     2.28MB / 24.1kB   0B / 0B     21
caa7915fbbc2   edge_subscriber          0.23%     50.42MiB / 31.35GiB   0.16%     2.28MB / 29.2kB   0B / 0B     21
007e18a28be3   cloud_broker             0.05%     62.38MiB / 31.35GiB   0.19%     2.28MB / 26.6kB   0B / 0B     21
1c594848236f   case2-edgeIoTDevSim-2    0.00%     48.86MiB / 500MiB     9.77%     2.28MB / 24.6kB   0B / 0B     21
bf1e6bccbfef   case2-edgeIoTDevSim-13   0.00%     49.29MiB / 500MiB     9.86%     2.27MB / 25.2kB   0B / 0B     21
185e48e832bc   edge_broker              0.71%     66.89MiB / 31.35GiB   0.21%     2.29MB / 35.7kB   0B / 0B     21
6d60d25435f9   cloud_client             0.00%     47.71MiB / 31.35GiB   0.15%     2.28MB / 26.7kB   0B / 0B     21
031b705475a7   case2-mongodb-1          0.33%     72.91MiB / 31.35GiB   0.23%     5.53kB / 3.43kB   0B / 0B     38
CONTAINER ID   NAME                     CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
4add4c9dae73   edge_data_manager        0.00%     63.95MiB / 31.35GiB   0.20%     2.28MB / 31.1kB   0B / 0B     31
a8cafe55cf25   cloud_server             0.00%     63.88MiB / 31.35GiB   0.20%     2.28MB / 27.1kB   0B / 0B     31
20fe185f5d22   case2-edgeIoTDevSim-19   0.06%     49.21MiB / 500MiB     9.84%     2.28MB / 28.7kB   0B / 0B     21
ed71117b4ac1   case2-edgeIoTDevSim-17   0.00%     49.21MiB / 500MiB     9.84%     2.28MB / 27.9kB   0B / 0B     21
2c0773368753   case2-edgeIoTDevSim-3    0.00%     44.83MiB / 500MiB     8.97%     2.28MB / 26.3kB   0B / 0B     21
78eb8c0e2397   case2-edgeIoTDevSim-14   0.00%     47MiB / 500MiB        9.40%     2.28MB / 24.4kB   0B / 0B     21
c4790df7465f   case2-edgeIoTDevSim-10   0.00%     46.93MiB / 500MiB     9.39%     2.28MB / 24.3kB   0B / 0B     21
030bd7098d16   case2-edgeIoTDevSim-4    0.00%     49.41MiB / 500MiB     9.88%     2.28MB / 24.5kB   0B / 0B     21
faa093c0e020   case2-edgeIoTDevSim-5    0.00%     49.25MiB / 500MiB     9.85%     2.28MB / 26.4kB   0B / 0B     21
057b9f80db1b   case2-edgeIoTDevSim-15   0.00%     47.34MiB / 500MiB     9.47%     2.28MB / 26.6kB   0B / 0B     21
90dde046e08c   case2-edgeIoTDevSim-11   0.00%     47.14MiB / 500MiB     9.43%     2.28MB / 25.4kB   0B / 0B     21
7e863f54b1ae   case2-edgeIoTDevSim-9    0.05%     48.98MiB / 500MiB     9.80%     2.28MB / 28.9kB   0B / 0B     21
3cc74185ef04   case2-edgeIoTDevSim-6    0.06%     44.91MiB / 500MiB     8.98%     2.28MB / 26.6kB   0B / 0B     21
478f21463995   case2-edgeIoTDevSim-16   0.05%     45.21MiB / 500MiB     9.04%     2.28MB / 23.2kB   0B / 0B     21
a4eea0cf402a   case2-edgeIoTDevSim-8    0.00%     46.85MiB / 500MiB     9.37%     2.27MB / 25.8kB   0B / 0B     21
e4fe3bab88fc   case2-edgeIoTDevSim-1    0.00%     47.04MiB / 500MiB     9.41%     2.28MB / 26.1kB   0B / 0B     21
ce666b62e3bf   case2-edgeIoTDevSim-18   0.00%     49.06MiB / 500MiB     9.81%     2.28MB / 24kB     0B / 0B     21
2f346f57cad8   edge_iot_smart_dev       0.14%     47.58MiB / 31.35GiB   0.15%     2.28MB / 30.7kB   0B / 0B     21
76ca415ccc11   case2-edgeIoTDevSim-12   0.00%     53.19MiB / 500MiB     10.64%    2.28MB / 24kB     0B / 0B     21
c03ada9682ff   case2-edgeIoTDevSim-7    0.00%     48.95MiB / 500MiB     9.79%     2.27MB / 25.2kB   0B / 0B     21
