CONTAINER ID   NAME                    CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
aeb1312c0119   cloud_client            0.00%     47.89MiB / 31.35GiB   0.15%     2.28MB / 24kB     0B / 0B     21
23a14a580f50   case2-mongodb-1         0.33%     82.21MiB / 31.35GiB   0.26%     17.1kB / 15.7kB   0B / 0B     44
031a99bce2d8   cloud_publisher         0.00%     49.15MiB / 31.35GiB   0.15%     2.28MB / 25.3kB   0B / 0B     21
f9196119c677   cloud_broker            0.00%     60.8MiB / 31.35GiB    0.19%     2.28MB / 24.9kB   0B / 0B     21
26bd36bf276f   edge_iot_smart_dev      0.15%     47.78MiB / 31.35GiB   0.15%     2.27MB / 26.5kB   0B / 0B     21
CONTAINER ID   NAME                    CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
701d8fbc254d   edge_data_manager       0.06%     66.46MiB / 31.35GiB   0.21%     2.28MB / 27.2kB   0B / 0B     31
9bfae88e0069   cloud_server            0.07%     68.1MiB / 31.35GiB    0.21%     2.28MB / 26.2kB   0B / 0B     31
46bf71f206f3   edge_subscriber         0.00%     47.5MiB / 31.35GiB    0.15%     2.28MB / 24.6kB   0B / 0B     21
bc42a97cad90   case2-edgeIoTDevSim-1   0.00%     49.37MiB / 500MiB     9.87%     2.28MB / 25.1kB   0B / 0B     21
dadc22ff80b5   edge_broker             0.09%     65.53MiB / 31.35GiB   0.20%     2.28MB / 31.7kB   0B / 0B     21
aeb1312c0119   cloud_client            0.00%     47.91MiB / 31.35GiB   0.15%     2.28MB / 24.3kB   0B / 0B     21
23a14a580f50   case2-mongodb-1         0.43%     82.21MiB / 31.35GiB   0.26%     18.6kB / 17.8kB   0B / 0B     44
031a99bce2d8   cloud_publisher         0.00%     49.15MiB / 31.35GiB   0.15%     2.28MB / 25.3kB   0B / 0B     21
f9196119c677   cloud_broker            0.00%     60.81MiB / 31.35GiB   0.19%     2.28MB / 25.2kB   0B / 0B     21
26bd36bf276f   edge_iot_smart_dev      0.17%     47.86MiB / 31.35GiB   0.15%     2.27MB / 26.5kB   0B / 0B     21
CONTAINER ID   NAME                    CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
