CONTAINER ID   NAME                    CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
8eab8bd6922b   edge_data_manager       0.00%     83.85MiB / 31.35GiB   0.26%     2.28MB / 27.7kB   0B / 0B     31
871a0bfaf717   cloud_server            0.00%     82.81MiB / 31.35GiB   0.26%     2.27MB / 23.1kB   0B / 0B     31
bc26dcd4a59d   case2-edgeIoTDevSim-5   0.00%     45.04MiB / 500MiB     9.01%     2.27MB / 28.9kB   0B / 0B     21
05cfdaf415c7   case2-edgeIoTDevSim-3   0.00%     46.94MiB / 500MiB     9.39%     2.28MB / 27.9kB   0B / 0B     21
005d5f887848   edge_iot_smart_dev      0.09%     46.87MiB / 31.35GiB   0.15%     2.28MB / 29.4kB   0B / 0B     21
3ccc1a6ec49e   edge_broker             0.00%     88.76MiB / 31.35GiB   0.28%     2.28MB / 27.1kB   0B / 0B     21
f6a527c5e330   case2-edgeIoTDevSim-4   0.00%     46.64MiB / 500MiB     9.33%     2.27MB / 28.7kB   0B / 0B     21
cb7218710a95   edge_subscriber         0.00%     47.02MiB / 31.35GiB   0.15%     2.27MB / 27.9kB   0B / 0B     21
220824ba2f18   case2-edgeIoTDevSim-1   0.00%     47.22MiB / 500MiB     9.44%     2.28MB / 23.8kB   0B / 0B     21
a2be48bcb68c   cloud_client            0.00%     64.48MiB / 31.35GiB   0.20%     2.28MB / 24.6kB   0B / 0B     21
e9721d5efa53   cloud_publisher         0.00%     47.19MiB / 31.35GiB   0.15%     2.27MB / 19.6kB   0B / 0B     21
bda878cce10a   cloud_broker            0.00%     89.07MiB / 31.35GiB   0.28%     2.28MB / 22.9kB   0B / 0B     21
252b6304ca10   case2-edgeIoTDevSim-2   0.00%     46.74MiB / 500MiB     9.35%     2.27MB / 26.8kB   0B / 0B     21
fa996e1bcbb4   case2-mongodb-1         0.42%     72.56MiB / 31.35GiB   0.23%     3.36kB / 2.1kB    0B / 0B     39
CONTAINER ID   NAME                    CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
8eab8bd6922b   edge_data_manager       0.00%     83.85MiB / 31.35GiB   0.26%     2.28MB / 27.7kB   0B / 0B     31
871a0bfaf717   cloud_server            0.00%     82.81MiB / 31.35GiB   0.26%     2.27MB / 23.1kB   0B / 0B     31
bc26dcd4a59d   case2-edgeIoTDevSim-5   0.00%     45.14MiB / 500MiB     9.03%     2.27MB / 29.2kB   0B / 0B     21
05cfdaf415c7   case2-edgeIoTDevSim-3   0.00%     47.04MiB / 500MiB     9.41%     2.28MB / 28.1kB   0B / 0B     21
005d5f887848   edge_iot_smart_dev      0.09%     46.96MiB / 31.35GiB   0.15%     2.28MB / 29.4kB   0B / 0B     21
3ccc1a6ec49e   edge_broker             0.17%     88.78MiB / 31.35GiB   0.28%     2.28MB / 27.6kB   0B / 0B     21
f6a527c5e330   case2-edgeIoTDevSim-4   0.34%     47.04MiB / 500MiB     9.41%     2.27MB / 28.9kB   0B / 0B     21
cb7218710a95   edge_subscriber         0.60%     47.42MiB / 31.35GiB   0.15%     2.28MB / 28kB     0B / 0B     21
220824ba2f18   case2-edgeIoTDevSim-1   0.00%     47.22MiB / 500MiB     9.44%     2.28MB / 23.8kB   0B / 0B     21
a2be48bcb68c   cloud_client            0.00%     64.48MiB / 31.35GiB   0.20%     2.28MB / 24.7kB   0B / 0B     21
e9721d5efa53   cloud_publisher         0.00%     47.19MiB / 31.35GiB   0.15%     2.28MB / 19.7kB   0B / 0B     21
bda878cce10a   cloud_broker            0.30%     89.08MiB / 31.35GiB   0.28%     2.28MB / 23.3kB   0B / 0B     21
252b6304ca10   case2-edgeIoTDevSim-2   0.00%     46.74MiB / 500MiB     9.35%     2.27MB / 26.8kB   0B / 0B     21
fa996e1bcbb4   case2-mongodb-1         0.36%     72.76MiB / 31.35GiB   0.23%     3.83kB / 2.62kB   0B / 0B     39
CONTAINER ID   NAME                    CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
8eab8bd6922b   edge_data_manager       0.29%     83.9MiB / 31.35GiB    0.26%     2.28MB / 28kB     0B / 0B     31
871a0bfaf717   cloud_server            0.00%     82.81MiB / 31.35GiB   0.26%     2.28MB / 23.4kB   0B / 0B     31
bc26dcd4a59d   case2-edgeIoTDevSim-5   0.00%     45.14MiB / 500MiB     9.03%     2.27MB / 29.2kB   0B / 0B     21
05cfdaf415c7   case2-edgeIoTDevSim-3   0.00%     47.04MiB / 500MiB     9.41%     2.28MB / 28.1kB   0B / 0B     21
005d5f887848   edge_iot_smart_dev      0.10%     47.05MiB / 31.35GiB   0.15%     2.28MB / 29.4kB   0B / 0B     21
3ccc1a6ec49e   edge_broker             0.00%     88.78MiB / 31.35GiB   0.28%     2.28MB / 28kB     0B / 0B     21
f6a527c5e330   case2-edgeIoTDevSim-4   0.00%     47.04MiB / 500MiB     9.41%     2.27MB / 28.9kB   0B / 0B     21
cb7218710a95   edge_subscriber         0.00%     47.46MiB / 31.35GiB   0.15%     2.28MB / 28.1kB   0B / 0B     21
220824ba2f18   case2-edgeIoTDevSim-1   0.00%     47.36MiB / 500MiB     9.47%     2.28MB / 24.1kB   0B / 0B     21
a2be48bcb68c   cloud_client            1.75%     64.89MiB / 31.35GiB   0.20%     2.28MB / 24.7kB   0B / 0B     21
e9721d5efa53   cloud_publisher         0.29%     47.27MiB / 31.35GiB   0.15%     2.28MB / 20kB     0B / 0B     21
bda878cce10a   cloud_broker            0.16%     89.1MiB / 31.35GiB    0.28%     2.28MB / 23.4kB   0B / 0B     21
252b6304ca10   case2-edgeIoTDevSim-2   0.00%     46.86MiB / 500MiB     9.37%     2.27MB / 27kB     0B / 0B     21
fa996e1bcbb4   case2-mongodb-1         0.35%     72.77MiB / 31.35GiB   0.23%     4.46kB / 3.49kB   0B / 0B     39
CONTAINER ID   NAME                    CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
8eab8bd6922b   edge_data_manager       0.00%     83.9MiB / 31.35GiB    0.26%     2.28MB / 28kB     0B / 0B     31
871a0bfaf717   cloud_server            1.66%     83.19MiB / 31.35GiB   0.26%     2.28MB / 23.4kB   0B / 0B     31
bc26dcd4a59d   case2-edgeIoTDevSim-5   0.09%     45.16MiB / 500MiB     9.03%     2.27MB / 29.4kB   0B / 0B     21
05cfdaf415c7   case2-edgeIoTDevSim-3   0.09%     47.06MiB / 500MiB     9.41%     2.28MB / 28.3kB   0B / 0B     21
005d5f887848   edge_iot_smart_dev      0.09%     47.11MiB / 31.35GiB   0.15%     2.28MB / 29.4kB   0B / 0B     21
3ccc1a6ec49e   edge_broker             3.54%     65.83MiB / 31.35GiB   0.21%     2.28MB / 28.3kB   0B / 0B     21
f6a527c5e330   case2-edgeIoTDevSim-4   0.00%     47.04MiB / 500MiB     9.41%     2.27MB / 28.9kB   0B / 0B     21
cb7218710a95   edge_subscriber         0.10%     47.48MiB / 31.35GiB   0.15%     2.28MB / 28.2kB   0B / 0B     21
220824ba2f18   case2-edgeIoTDevSim-1   0.00%     47.36MiB / 500MiB     9.47%     2.28MB / 24.1kB   0B / 0B     21
a2be48bcb68c   cloud_client            0.03%     49.5MiB / 31.35GiB    0.15%     2.28MB / 24.7kB   0B / 0B     21
e9721d5efa53   cloud_publisher         0.00%     47.27MiB / 31.35GiB   0.15%     2.28MB / 20kB     0B / 0B     21
bda878cce10a   cloud_broker            3.05%     65.18MiB / 31.35GiB   0.20%     2.28MB / 23.4kB   0B / 0B     21
252b6304ca10   case2-edgeIoTDevSim-2   0.00%     46.86MiB / 500MiB     9.37%     2.27MB / 27kB     0B / 0B     21
fa996e1bcbb4   case2-mongodb-1         0.30%     72.77MiB / 31.35GiB   0.23%     4.46kB / 3.49kB   0B / 0B     39
CONTAINER ID   NAME                    CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
8eab8bd6922b   edge_data_manager       1.86%     68.28MiB / 31.35GiB   0.21%     2.28MB / 28kB     0B / 0B     31
871a0bfaf717   cloud_server            0.14%     68.35MiB / 31.35GiB   0.21%     2.28MB / 23.7kB   0B / 0B     31
bc26dcd4a59d   case2-edgeIoTDevSim-5   0.00%     45.16MiB / 500MiB     9.03%     2.27MB / 29.4kB   0B / 0B     21
05cfdaf415c7   case2-edgeIoTDevSim-3   0.00%     47.06MiB / 500MiB     9.41%     2.28MB / 28.3kB   0B / 0B     21
005d5f887848   edge_iot_smart_dev      0.14%     47.21MiB / 31.35GiB   0.15%     2.28MB / 29.4kB   0B / 0B     21
3ccc1a6ec49e   edge_broker             0.31%     66.13MiB / 31.35GiB   0.21%     2.28MB / 29.1kB   0B / 0B     21
f6a527c5e330   case2-edgeIoTDevSim-4   0.00%     47.05MiB / 500MiB     9.41%     2.27MB / 29.1kB   0B / 0B     21
cb7218710a95   edge_subscriber         0.18%     47.56MiB / 31.35GiB   0.15%     2.28MB / 28.4kB   0B / 0B     21
220824ba2f18   case2-edgeIoTDevSim-1   0.07%     47.38MiB / 500MiB     9.47%     2.28MB / 24.3kB   0B / 0B     21
a2be48bcb68c   cloud_client            0.00%     49.5MiB / 31.35GiB    0.15%     2.28MB / 24.7kB   0B / 0B     21
e9721d5efa53   cloud_publisher         0.00%     47.27MiB / 31.35GiB   0.15%     2.28MB / 20kB     0B / 0B     21
bda878cce10a   cloud_broker            0.00%     64.83MiB / 31.35GiB   0.20%     2.28MB / 23.7kB   0B / 0B     21
252b6304ca10   case2-edgeIoTDevSim-2   0.07%     46.88MiB / 500MiB     9.38%     2.27MB / 27.2kB   0B / 0B     21
fa996e1bcbb4   case2-mongodb-1         0.60%     73.01MiB / 31.35GiB   0.23%     5.09kB / 4.37kB   0B / 0B     39
CONTAINER ID   NAME                    CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
8eab8bd6922b   edge_data_manager       0.00%     68.13MiB / 31.35GiB   0.21%     2.28MB / 28.3kB   0B / 0B     31
871a0bfaf717   cloud_server            0.00%     68.35MiB / 31.35GiB   0.21%     2.28MB / 23.7kB   0B / 0B     31
bc26dcd4a59d   case2-edgeIoTDevSim-5   0.07%     45.18MiB / 500MiB     9.04%     2.27MB / 29.6kB   0B / 0B     21
