CONTAINER ID   NAME                     CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
e8824ee3d5c7   edge_data_manager        0.07%     64.38MiB / 31.35GiB   0.20%     2.28MB / 26.1kB   0B / 0B     31
c1a3e98741c0   cloud_server             0.00%     64.32MiB / 31.35GiB   0.20%     2.28MB / 41.9kB   0B / 0B     31
a933028f1ef8   case2-edgeIoTDevSim-49   0.00%     49.34MiB / 500MiB     9.87%     2.28MB / 31.5kB   0B / 0B     21
4eb0e31031fd   case2-edgeIoTDevSim-24   0.00%     45.2MiB / 500MiB      9.04%     2.28MB / 27.7kB   0B / 0B     21
4f8c22393320   case2-edgeIoTDevSim-25   0.00%     50.93MiB / 500MiB     10.19%    2.28MB / 32.2kB   0B / 0B     21
2b0bd92e0e23   case2-edgeIoTDevSim-28   0.00%     45.38MiB / 500MiB     9.08%     2.28MB / 26.8kB   0B / 0B     21
0291409f17f0   case2-edgeIoTDevSim-13   0.00%     47.11MiB / 500MiB     9.42%     2.28MB / 25.4kB   0B / 0B     21
0ce8a090dfc5   case2-edgeIoTDevSim-18   0.06%     45.03MiB / 500MiB     9.01%     2.28MB / 25.1kB   0B / 0B     21
55054c34365b   case2-edgeIoTDevSim-32   0.07%     46.89MiB / 500MiB     9.38%     2.28MB / 25.7kB   0B / 0B     21
75acf6d483a0   case2-edgeIoTDevSim-34   0.04%     47.07MiB / 500MiB     9.41%     2.28MB / 24.6kB   0B / 0B     21
c92b2e47de01   case2-edgeIoTDevSim-8    0.00%     49.26MiB / 500MiB     9.85%     2.28MB / 27.9kB   0B / 0B     21
978f5bf4d593   case2-edgeIoTDevSim-27   0.00%     49.3MiB / 500MiB      9.86%     2.28MB / 28.1kB   0B / 0B     21
f8844619c836   case2-edgeIoTDevSim-31   0.00%     46.84MiB / 500MiB     9.37%     2.28MB / 23.6kB   0B / 0B     21
b9e8b0bf24af   case2-edgeIoTDevSim-17   0.00%     49.07MiB / 500MiB     9.81%     2.28MB / 25.1kB   0B / 0B     21
63b444c74b6f   case2-edgeIoTDevSim-22   0.00%     52.75MiB / 500MiB     10.55%    2.28MB / 26kB     0B / 0B     21
f6e2e9d6154c   edge_broker              1.04%     67.93MiB / 31.35GiB   0.21%     2.32MB / 63.2kB   0B / 0B     21
