CONTAINER ID   NAME                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
3fc18134b3fb   case2-edgeIoTDevSim-274   0.00%     49.38MiB / 500MiB     9.88%     2.31MB / 35.6kB   0B / 0B     21
5e0fcab3e57f   case2-edgeIoTDevSim-217   0.00%     49.66MiB / 500MiB     9.93%     2.31MB / 35kB     0B / 0B     21
68800995798d   case2-edgeIoTDevSim-153   0.00%     47.52MiB / 500MiB     9.50%     2.31MB / 35.4kB   0B / 0B     21
a12e13040e49   case2-edgeIoTDevSim-281   0.00%     46.04MiB / 500MiB     9.21%     2.31MB / 31.9kB   0B / 0B     21
d286a8cbff69   case2-edgeIoTDevSim-273   0.03%     47.63MiB / 500MiB     9.53%     2.3MB / 32.4kB    0B / 0B     21
53c4bdab495f   case2-edgeIoTDevSim-179   0.03%     47.64MiB / 500MiB     9.53%     2.31MB / 39.9kB   0B / 0B     21
8c75ee948430   case2-edgeIoTDevSim-283   0.03%     47.43MiB / 500MiB     9.49%     2.31MB / 33.9kB   0B / 0B     21
a4f26a93fcb8   case2-edgeIoTDevSim-178   0.02%     47.44MiB / 500MiB     9.49%     2.31MB / 34.7kB   0B / 0B     21
4a5ad72f97e6   case2-edgeIoTDevSim-272   0.00%     49.39MiB / 500MiB     9.88%     2.31MB / 34.1kB   0B / 0B     21
ccbcac1b43da   case2-edgeIoTDevSim-284   0.00%     49.73MiB / 500MiB     9.95%     2.31MB / 35.5kB   0B / 0B     21
bcf5816ed800   case2-edgeIoTDevSim-133   0.00%     49.49MiB / 500MiB     9.90%     2.31MB / 34.5kB   0B / 0B     21
b92d90a9a2c2   case2-edgeIoTDevSim-264   0.00%     49.44MiB / 500MiB     9.89%     2.31MB / 34.9kB   0B / 0B     21
900d28712d2a   case2-edgeIoTDevSim-209   0.00%     47.71MiB / 500MiB     9.54%     2.3MB / 33kB      0B / 0B     21
7760decbba69   case2-edgeIoTDevSim-132   0.00%     45.42MiB / 500MiB     9.08%     2.31MB / 35.6kB   0B / 0B     21
89c242c8cd45   case2-edgeIoTDevSim-285   0.00%     49.36MiB / 500MiB     9.87%     2.3MB / 33.3kB    0B / 0B     21
0e0d129ea8fc   case2-edgeIoTDevSim-286   0.00%     47.6MiB / 500MiB      9.52%     2.31MB / 38.8kB   0B / 0B     21
a00cc76d5927   case2-edgeIoTDevSim-207   0.00%     47.39MiB / 500MiB     9.48%     2.31MB / 32.5kB   0B / 0B     21
9bc5d77359b7   case2-edgeIoTDevSim-180   0.00%     47.41MiB / 500MiB     9.48%     2.31MB / 36.7kB   0B / 0B     21
2d65dde31e9b   case2-edgeIoTDevSim-275   0.03%     51.29MiB / 500MiB     10.26%    2.31MB / 36.4kB   0B / 0B     21
1fa60a82438b   case2-edgeIoTDevSim-261   0.03%     45.58MiB / 500MiB     9.12%     2.31MB / 35kB     0B / 0B     21
6ae38a4d5ec1   case2-edgeIoTDevSim-151   0.03%     47.55MiB / 500MiB     9.51%     2.33MB / 41.7kB   0B / 0B     21
2970b77f6bff   case2-edgeIoTDevSim-96    0.03%     49.42MiB / 500MiB     9.88%     2.3MB / 33.3kB    0B / 0B     21
98294418368f   case2-edgeIoTDevSim-260   0.03%     49.4MiB / 500MiB      9.88%     2.3MB / 36.2kB    0B / 0B     21
5af7242f3a2c   case2-edgeIoTDevSim-88    0.00%     49.59MiB / 500MiB     9.92%     2.31MB / 35.6kB   0B / 0B     21
ab2de4c3920d   case2-edgeIoTDevSim-229   0.00%     49.41MiB / 500MiB     9.88%     2.31MB / 35kB     0B / 0B     21
8f7083924891   case2-edgeIoTDevSim-205   0.00%     47.43MiB / 500MiB     9.49%     2.3MB / 32.9kB    0B / 0B     21
d3dc055c4120   case2-edgeIoTDevSim-232   0.00%     45.42MiB / 500MiB     9.08%     2.31MB / 33.1kB   0B / 0B     21
bad99bdf499c   case2-edgeIoTDevSim-176   0.00%     47.4MiB / 500MiB      9.48%     2.31MB / 32.9kB   0B / 0B     21
c0a225b2d3bb   case2-edgeIoTDevSim-208   0.00%     49.62MiB / 500MiB     9.92%     2.31MB / 33.9kB   0B / 0B     21
a2c298e424d6   case2-edgeIoTDevSim-225   0.00%     47.32MiB / 500MiB     9.46%     2.3MB / 33.7kB    0B / 0B     21
38e70cd9dec5   case2-edgeIoTDevSim-230   0.00%     47.49MiB / 500MiB     9.50%     2.31MB / 32.6kB   0B / 0B     21
55bcf072eb9e   case2-edgeIoTDevSim-175   0.03%     45.45MiB / 500MiB     9.09%     2.31MB / 40.2kB   0B / 0B     21
43e94a2ccd01   case2-edgeIoTDevSim-259   0.02%     51.46MiB / 500MiB     10.29%    2.31MB / 39.3kB   0B / 0B     21
9496cceb7944   case2-edgeIoTDevSim-258   0.02%     49.1MiB / 500MiB      9.82%     2.31MB / 35.4kB   0B / 0B     21
b263c4a67d66   case2-edgeIoTDevSim-172   0.03%     45.48MiB / 500MiB     9.10%     2.31MB / 36.1kB   0B / 0B     21
1eb47a302804   case2-edgeIoTDevSim-92    0.00%     45.49MiB / 500MiB     9.10%     2.31MB / 35.6kB   0B / 0B     21
64464296aaec   case2-edgeIoTDevSim-204   0.00%     49.54MiB / 500MiB     9.91%     2.3MB / 34.8kB    0B / 0B     21
7d19195fee89   case2-edgeIoTDevSim-95    0.00%     45.37MiB / 500MiB     9.07%     2.31MB / 34.1kB   0B / 0B     21
72c606014455   case2-edgeIoTDevSim-228   0.00%     47.36MiB / 500MiB     9.47%     2.3MB / 35.4kB    0B / 0B     21
d35594f6db9d   case2-edgeIoTDevSim-262   0.00%     47.43MiB / 500MiB     9.49%     2.3MB / 37kB      0B / 0B     21
099147fcd39d   case2-edgeIoTDevSim-247   0.00%     45.41MiB / 500MiB     9.08%     2.3MB / 33.7kB    0B / 0B     21
46a7e1bd54dd   case2-edgeIoTDevSim-220   0.00%     47.61MiB / 500MiB     9.52%     2.31MB / 32.5kB   0B / 0B     21
7cf3baa1c566   case2-edgeIoTDevSim-234   0.00%     45.42MiB / 500MiB     9.08%     2.3MB / 33.7kB    0B / 0B     21
55804878c51b   case2-edgeIoTDevSim-282   0.00%     47.54MiB / 500MiB     9.51%     2.3MB / 34.3kB    0B / 0B     21
68a9721a37e7   case2-edgeIoTDevSim-171   0.03%     47.74MiB / 500MiB     9.55%     2.31MB / 35.6kB   0B / 0B     21
c4e103599a4b   case2-edgeIoTDevSim-226   0.03%     49.75MiB / 500MiB     9.95%     2.3MB / 34.2kB    0B / 0B     21
8eedfb55dd13   case2-edgeIoTDevSim-94    0.03%     47.36MiB / 500MiB     9.47%     2.31MB / 34.3kB   0B / 0B     21
69afcdd7098c   case2-edgeIoTDevSim-177   0.03%     47.54MiB / 500MiB     9.51%     2.31MB / 35.8kB   0B / 0B     21
1bd4aef54b8c   case2-edgeIoTDevSim-174   0.00%     47.81MiB / 500MiB     9.56%     2.3MB / 34.8kB    0B / 0B     21
fc570cc368c2   case2-edgeIoTDevSim-90    0.00%     45.88MiB / 500MiB     9.18%     2.3MB / 32.6kB    0B / 0B     21
76f07a37694a   case2-edgeIoTDevSim-246   0.00%     47.36MiB / 500MiB     9.47%     2.3MB / 35.2kB    0B / 0B     21
694fe1a01c2d   case2-edgeIoTDevSim-233   0.00%     49.37MiB / 500MiB     9.87%     2.3MB / 34.5kB    0B / 0B     21
8755a770dffa   case2-edgeIoTDevSim-89    0.00%     47.39MiB / 500MiB     9.48%     2.3MB / 32.4kB    0B / 0B     21
1850c6e1d38d   case2-edgeIoTDevSim-263   0.00%     47.29MiB / 500MiB     9.46%     2.3MB / 32.5kB    0B / 0B     21
c5a21007305f   case2-edgeIoTDevSim-91    0.00%     45.39MiB / 500MiB     9.08%     2.3MB / 36kB      0B / 0B     21
c4d9d3d93742   case2-edgeIoTDevSim-245   0.00%     47.54MiB / 500MiB     9.51%     2.3MB / 34.1kB    0B / 0B     21
e44af12d9583   case2-edgeIoTDevSim-244   0.00%     49.5MiB / 500MiB      9.90%     2.31MB / 34.1kB   0B / 0B     21
843d424bc411   case2-edgeIoTDevSim-243   0.02%     49.62MiB / 500MiB     9.93%     2.3MB / 33.3kB    0B / 0B     21
f334d688aff0   case2-edgeIoTDevSim-231   0.03%     47.38MiB / 500MiB     9.48%     2.3MB / 35.6kB    0B / 0B     21
880053cdc19f   case2-edgeIoTDevSim-173   0.03%     47.5MiB / 500MiB      9.50%     2.31MB / 35.7kB   0B / 0B     21
b7ad79262546   case2-edgeIoTDevSim-93    0.03%     47.59MiB / 500MiB     9.52%     2.31MB / 34.3kB   0B / 0B     21
87ad7a925de9   case2-edgeIoTDevSim-152   0.00%     49.56MiB / 500MiB     9.91%     2.3MB / 34.3kB    0B / 0B     21
1a2a21227caf   case2-edgeIoTDevSim-223   0.00%     53.69MiB / 500MiB     10.74%    2.3MB / 31.6kB    0B / 0B     21
0d4ca40abe86   case2-edgeIoTDevSim-224   0.00%     47.67MiB / 500MiB     9.53%     2.3MB / 31.8kB    0B / 0B     21
1a459f0b1d76   case2-edgeIoTDevSim-222   0.00%     49.43MiB / 500MiB     9.89%     2.3MB / 34.1kB    0B / 0B     21
1b192ff0f3e0   case2-edgeIoTDevSim-203   0.00%     49.5MiB / 500MiB      9.90%     2.3MB / 32.9kB    0B / 0B     21
d0f317106d00   case2-edgeIoTDevSim-221   0.00%     47.52MiB / 500MiB     9.50%     2.3MB / 31.3kB    0B / 0B     21
391edb8c3872   case2-edgeIoTDevSim-130   0.00%     47.49MiB / 500MiB     9.50%     2.3MB / 30.1kB    0B / 0B     21
5d84cf8bcdac   case2-edgeIoTDevSim-129   0.00%     53.43MiB / 500MiB     10.69%    2.3MB / 33.3kB    0B / 0B     21
bec33716b312   case2-edgeIoTDevSim-227   0.00%     47.44MiB / 500MiB     9.49%     2.3MB / 31.4kB    0B / 0B     21
3f581bd2b527   case2-edgeIoTDevSim-257   0.02%     49.41MiB / 500MiB     9.88%     2.3MB / 34kB      0B / 0B     21
305507958b46   case2-edgeIoTDevSim-170   0.03%     47.43MiB / 500MiB     9.49%     2.3MB / 33.1kB    0B / 0B     21
a06aab6ab6c7   case2-edgeIoTDevSim-242   0.02%     45.56MiB / 500MiB     9.11%     2.3MB / 35.7kB    0B / 0B     21
5fb45f9f5e38   case2-edgeIoTDevSim-150   0.03%     45.83MiB / 500MiB     9.17%     2.3MB / 36.2kB    0B / 0B     21
b8166e2f84cb   case2-edgeIoTDevSim-241   0.03%     45.31MiB / 500MiB     9.06%     2.3MB / 35.4kB    0B / 0B     21
ae498bff18e7   case2-edgeIoTDevSim-218   0.00%     47.48MiB / 500MiB     9.50%     2.3MB / 30.7kB    0B / 0B     21
754ac5e81094   case2-edgeIoTDevSim-79    0.00%     47.48MiB / 500MiB     9.50%     2.3MB / 30.6kB    0B / 0B     21
aee4eea15dd1   case2-edgeIoTDevSim-219   0.00%     47.47MiB / 500MiB     9.49%     2.3MB / 31.3kB    0B / 0B     21
c64766214334   case2-edgeIoTDevSim-77    0.00%     47.61MiB / 500MiB     9.52%     2.3MB / 35.3kB    0B / 0B     21
