CONTAINER ID   NAME                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
2d7a8f7cfb38   edge_data_manager         0.00%     73.86MiB / 31.35GiB   0.23%     2.37MB / 125kB    0B / 0B     31
fc864900a880   cloud_server              0.00%     69.34MiB / 31.35GiB   0.22%     2.33MB / 54.1kB   0B / 0B     31
782fe0351225   case2-edgeIoTDevSim-142   0.04%     51.07MiB / 500MiB     10.21%    2.3MB / 31.7kB    0B / 0B     21
5cc88b48ffb9   case2-edgeIoTDevSim-58    0.00%     47.52MiB / 500MiB     9.50%     2.3MB / 31.9kB    0B / 0B     21
cf94360c1ad0   case2-edgeIoTDevSim-181   0.00%     47.48MiB / 500MiB     9.50%     2.3MB / 33kB      0B / 0B     21
07d983292d6e   case2-edgeIoTDevSim-125   0.00%     45.55MiB / 500MiB     9.11%     2.3MB / 31.4kB    0B / 0B     21
595c1b67ba6e   case2-edgeIoTDevSim-196   0.00%     49.17MiB / 500MiB     9.83%     2.3MB / 35kB      0B / 0B     21
a3fb20f937c8   cloud_client              0.00%     59.62MiB / 31.35GiB   0.19%     2.34MB / 72.2kB   0B / 0B     21
1cd87ae3e321   case2-edgeIoTDevSim-180   0.00%     45.52MiB / 500MiB     9.10%     2.3MB / 32.6kB    0B / 0B     21
2be2af1c7e10   case2-edgeIoTDevSim-7     0.00%     45.54MiB / 500MiB     9.11%     2.3MB / 34.5kB    0B / 0B     21
33c732e88b96   case2-edgeIoTDevSim-163   0.00%     45.64MiB / 500MiB     9.13%     2.3MB / 35.5kB    0B / 0B     21
5d86f21d76bc   case2-edgeIoTDevSim-150   0.05%     47.68MiB / 500MiB     9.54%     2.31MB / 37.6kB   0B / 0B     21
b6d2c9237102   case2-edgeIoTDevSim-127   0.03%     47.64MiB / 500MiB     9.53%     2.3MB / 34.8kB    0B / 0B     21
d3a99c9d2fbf   case2-edgeIoTDevSim-189   0.04%     47.86MiB / 500MiB     9.57%     2.3MB / 33.8kB    0B / 0B     21
be1095545b51   case2-edgeIoTDevSim-9     0.03%     47.75MiB / 500MiB     9.55%     2.3MB / 36.3kB    0B / 0B     21
ee62386a205b   case2-edgeIoTDevSim-113   0.00%     47.53MiB / 500MiB     9.51%     2.3MB / 30.4kB    0B / 0B     21
b3fb96c12c06   edge_broker               5.48%     95.83MiB / 31.35GiB   0.30%     3.11MB / 1.37MB   0B / 0B     21
c1457046a1e8   case2-edgeIoTDevSim-182   0.00%     45.04MiB / 500MiB     9.01%     2.3MB / 30.7kB    0B / 0B     21
70d31ad253d9   case2-edgeIoTDevSim-91    0.00%     47.46MiB / 500MiB     9.49%     2.3MB / 34.4kB    0B / 0B     21
fe885cf3d46c   case2-edgeIoTDevSim-179   0.00%     47.48MiB / 500MiB     9.50%     2.31MB / 34.3kB   0B / 0B     21
d85f361e0e35   case2-edgeIoTDevSim-61    0.00%     47.57MiB / 500MiB     9.51%     2.3MB / 34.8kB    0B / 0B     21
64d5d94ce12f   case2-edgeIoTDevSim-66    0.00%     47.3MiB / 500MiB      9.46%     2.29MB / 32.8kB   0B / 0B     21
0bcd723a891a   case2-edgeIoTDevSim-123   0.00%     55.81MiB / 500MiB     11.16%    2.3MB / 33.7kB    0B / 0B     21
bb6813e4a36d   case2-edgeIoTDevSim-176   0.00%     49.37MiB / 500MiB     9.87%     2.3MB / 32.1kB    0B / 0B     21
dccc82a4ebaf   case2-edgeIoTDevSim-114   0.00%     49.52MiB / 500MiB     9.90%     2.3MB / 30.8kB    0B / 0B     21
18464edadb4a   case2-edgeIoTDevSim-52    0.03%     49.6MiB / 500MiB      9.92%     2.3MB / 31.1kB    0B / 0B     21
4a412c841821   case2-edgeIoTDevSim-38    0.05%     47.33MiB / 500MiB     9.47%     2.3MB / 32.4kB    0B / 0B     21
feb714cf45aa   case2-edgeIoTDevSim-16    0.02%     47.45MiB / 500MiB     9.49%     2.3MB / 33.7kB    0B / 0B     21
7937d6693db9   case2-edgeIoTDevSim-184   0.04%     47.5MiB / 500MiB      9.50%     2.3MB / 33.5kB    0B / 0B     21
4fd886b2e496   case2-edgeIoTDevSim-139   0.00%     47.5MiB / 500MiB      9.50%     2.3MB / 32.2kB    0B / 0B     21
b91f999a849b   case2-edgeIoTDevSim-194   0.00%     47.83MiB / 500MiB     9.57%     2.3MB / 30.8kB    0B / 0B     21
10e8b393649f   case2-edgeIoTDevSim-144   0.00%     49.32MiB / 500MiB     9.86%     2.29MB / 28.8kB   0B / 0B     21
5cfbb0a320d5   case2-edgeIoTDevSim-161   0.00%     49.16MiB / 500MiB     9.83%     2.3MB / 33.5kB    0B / 0B     21
457e5cadc639   case2-edgeIoTDevSim-56    0.00%     45.45MiB / 500MiB     9.09%     2.3MB / 33.7kB    0B / 0B     21
