CONTAINER ID   NAME                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
27d138799584   case2-edgeIoTDevSim-453   0.01%     48MiB / 500MiB        9.60%     2.34MB / 44.2kB   0B / 0B     21
2215ef361cc7   case2-edgeIoTDevSim-357   0.02%     50.05MiB / 500MiB     10.01%    2.34MB / 44.1kB   0B / 0B     21
5219dfab621f   case2-edgeIoTDevSim-468   0.00%     48.18MiB / 500MiB     9.64%     2.34MB / 47.9kB   0B / 0B     21
bc47f10a1d5f   case2-edgeIoTDevSim-315   0.00%     50.28MiB / 500MiB     10.06%    2.33MB / 43.5kB   0B / 0B     21
5db05512b965   case2-edgeIoTDevSim-373   0.00%     48.27MiB / 500MiB     9.65%     2.33MB / 44.8kB   0B / 0B     21
a594e913c1a2   case2-edgeIoTDevSim-219   0.00%     46.32MiB / 500MiB     9.26%     2.33MB / 40.6kB   0B / 0B     21
3fee8a58b5f6   case2-edgeIoTDevSim-363   0.01%     46.24MiB / 500MiB     9.25%     2.33MB / 44.1kB   0B / 0B     21
575a7d92ec3f   case2-edgeIoTDevSim-448   0.00%     48.28MiB / 500MiB     9.66%     2.34MB / 45.2kB   0B / 0B     21
53553b5be692   case2-edgeIoTDevSim-469   0.02%     48.55MiB / 500MiB     9.71%     2.34MB / 43.4kB   0B / 0B     21
42d16a8a6980   case2-edgeIoTDevSim-182   0.01%     50.21MiB / 500MiB     10.04%    2.33MB / 37.4kB   0B / 0B     21
0c013963774e   case2-edgeIoTDevSim-215   0.01%     46.28MiB / 500MiB     9.26%     2.34MB / 47.2kB   0B / 0B     21
ac1ddc4b366a   case2-edgeIoTDevSim-232   0.02%     50.4MiB / 500MiB      10.08%    2.34MB / 46kB     0B / 0B     21
6fa493c1476e   case2-edgeIoTDevSim-398   0.01%     50.03MiB / 500MiB     10.01%    2.33MB / 43.3kB   0B / 0B     21
7ee7bd52a98f   case2-edgeIoTDevSim-418   0.02%     50.32MiB / 500MiB     10.06%    2.33MB / 43.4kB   0B / 0B     21
c54ef00af67c   case2-edgeIoTDevSim-422   0.03%     50.59MiB / 500MiB     10.12%    2.33MB / 41kB     0B / 0B     21
c8ddd548b645   case2-edgeIoTDevSim-314   0.01%     50.09MiB / 500MiB     10.02%    2.33MB / 39.6kB   0B / 0B     21
84ce33fe6be0   case2-edgeIoTDevSim-277   0.00%     46.12MiB / 500MiB     9.22%     2.33MB / 42.8kB   0B / 0B     21
5867b2e7366e   case2-edgeIoTDevSim-388   0.00%     48.28MiB / 500MiB     9.66%     2.33MB / 43.7kB   0B / 0B     21
0aa124bb8464   case2-edgeIoTDevSim-308   0.01%     48.08MiB / 500MiB     9.62%     2.33MB / 41.5kB   0B / 0B     21
46d74d70365a   case2-edgeIoTDevSim-344   0.01%     48.13MiB / 500MiB     9.63%     2.33MB / 42.4kB   0B / 0B     21
abaafa731f3d   case2-edgeIoTDevSim-320   0.00%     50MiB / 500MiB        10.00%    2.33MB / 41.1kB   0B / 0B     21
46011b01092a   case2-edgeIoTDevSim-360   0.02%     48.13MiB / 500MiB     9.63%     2.33MB / 46.2kB   0B / 0B     21
ad93a2486182   case2-edgeIoTDevSim-181   0.02%     48.22MiB / 500MiB     9.64%     2.33MB / 47.4kB   0B / 0B     21
8ba7a1c2470b   case2-edgeIoTDevSim-387   0.01%     48.24MiB / 500MiB     9.65%     2.33MB / 40.6kB   0B / 0B     21
531410de652a   case2-edgeIoTDevSim-307   0.01%     45.97MiB / 500MiB     9.19%     2.33MB / 44.4kB   0B / 0B     21
d6b4e6b35862   case2-edgeIoTDevSim-262   0.01%     50.28MiB / 500MiB     10.06%    2.33MB / 44.8kB   0B / 0B     21
fd495bfc283f   case2-edgeIoTDevSim-325   0.02%     48MiB / 500MiB        9.60%     2.33MB / 46.4kB   0B / 0B     21
67d4d9295215   case2-edgeIoTDevSim-230   0.00%     48.17MiB / 500MiB     9.63%     2.33MB / 42.6kB   0B / 0B     21
ecdb93bad573   case2-edgeIoTDevSim-361   0.00%     48.18MiB / 500MiB     9.64%     2.33MB / 43.5kB   0B / 0B     21
ae7cc95c8614   case2-edgeIoTDevSim-228   0.00%     48.07MiB / 500MiB     9.61%     2.33MB / 42.9kB   0B / 0B     21
b261e31c08d4   case2-edgeIoTDevSim-423   0.00%     46.58MiB / 500MiB     9.32%     2.33MB / 41.8kB   0B / 0B     21
297d18c7811c   case2-edgeIoTDevSim-225   0.01%     48.36MiB / 500MiB     9.67%     2.33MB / 41.1kB   0B / 0B     21
55e186a0ebda   case2-edgeIoTDevSim-449   0.02%     48.04MiB / 500MiB     9.61%     2.33MB / 39.9kB   0B / 0B     21
1c82284581ba   case2-edgeIoTDevSim-413   0.00%     48.15MiB / 500MiB     9.63%     2.33MB / 44.6kB   0B / 0B     21
fefef019b95d   case2-edgeIoTDevSim-395   0.01%     46.18MiB / 500MiB     9.24%     2.33MB / 44.9kB   0B / 0B     21
24a59a18dff6   case2-edgeIoTDevSim-240   0.01%     46.2MiB / 500MiB      9.24%     2.33MB / 43.8kB   0B / 0B     21
df9f83e11b19   case2-edgeIoTDevSim-417   0.01%     46.17MiB / 500MiB     9.23%     2.33MB / 41.3kB   0B / 0B     21
4f42d63deaf2   case2-edgeIoTDevSim-384   0.01%     50.12MiB / 500MiB     10.02%    2.33MB / 44.3kB   0B / 0B     21
49fc2e3f5535   case2-edgeIoTDevSim-452   0.02%     46.14MiB / 500MiB     9.23%     2.32MB / 41.2kB   0B / 0B     21
55f9a6e1fa32   case2-edgeIoTDevSim-299   0.03%     48.23MiB / 500MiB     9.65%     2.33MB / 41.5kB   0B / 0B     21
ecf89f828284   case2-edgeIoTDevSim-465   0.01%     50.16MiB / 500MiB     10.03%    2.32MB / 42kB     0B / 0B     21
bc677f1da641   case2-edgeIoTDevSim-396   0.00%     46.17MiB / 500MiB     9.23%     2.33MB / 41.7kB   0B / 0B     21
bd3e35abb3db   case2-edgeIoTDevSim-310   0.00%     46.09MiB / 500MiB     9.22%     2.33MB / 45.8kB   0B / 0B     21
9df600a9670e   case2-edgeIoTDevSim-378   0.00%     46.06MiB / 500MiB     9.21%     2.33MB / 45.1kB   0B / 0B     21
947337753bd5   case2-edgeIoTDevSim-281   0.00%     46.22MiB / 500MiB     9.24%     2.33MB / 42.4kB   0B / 0B     21
302ae45a2da8   case2-edgeIoTDevSim-402   0.00%     50MiB / 500MiB        10.00%    2.33MB / 44.6kB   0B / 0B     21
54bb8192a404   case2-edgeIoTDevSim-393   0.02%     48.19MiB / 500MiB     9.64%     2.33MB / 41.5kB   0B / 0B     21
a3584556368c   case2-edgeIoTDevSim-355   0.00%     48.21MiB / 500MiB     9.64%     2.33MB / 43.1kB   0B / 0B     21
15d0581a7e87   case2-edgeIoTDevSim-339   0.01%     46.21MiB / 500MiB     9.24%     2.33MB / 44.4kB   0B / 0B     21
2fdfbaa979d2   case2-edgeIoTDevSim-327   0.01%     54.29MiB / 500MiB     10.86%    2.33MB / 42.8kB   0B / 0B     21
122d5ee0af81   case2-edgeIoTDevSim-420   0.02%     50.09MiB / 500MiB     10.02%    2.33MB / 40.1kB   0B / 0B     21
74d2b715f9ff   case2-edgeIoTDevSim-322   0.00%     48.14MiB / 500MiB     9.63%     2.33MB / 45.6kB   0B / 0B     21
fe5a6eaa6846   case2-edgeIoTDevSim-323   0.00%     50.11MiB / 500MiB     10.02%    2.33MB / 42.8kB   0B / 0B     21
9cbe373271bb   case2-edgeIoTDevSim-400   0.01%     46.27MiB / 500MiB     9.25%     2.33MB / 44.6kB   0B / 0B     21
37ffde84e9bd   case2-edgeIoTDevSim-425   0.00%     48.1MiB / 500MiB      9.62%     2.33MB / 46.1kB   0B / 0B     21
08f66b559dfe   case2-edgeIoTDevSim-364   0.00%     48.07MiB / 500MiB     9.61%     2.32MB / 35.1kB   0B / 0B     21
bc2823877505   case2-edgeIoTDevSim-265   0.01%     47.94MiB / 500MiB     9.59%     2.33MB / 41.5kB   0B / 0B     21
914be607a28a   case2-edgeIoTDevSim-495   0.01%     46.17MiB / 500MiB     9.23%     2.33MB / 47.2kB   0B / 0B     21
fda0443dc4bd   case2-edgeIoTDevSim-456   0.02%     50.05MiB / 500MiB     10.01%    2.33MB / 44.1kB   0B / 0B     21
0c0f3bc85501   case2-edgeIoTDevSim-408   0.02%     47.95MiB / 500MiB     9.59%     2.33MB / 39.5kB   0B / 0B     21
067b9ad2ad82   case2-edgeIoTDevSim-311   0.02%     46MiB / 500MiB        9.20%     2.33MB / 42.6kB   0B / 0B     21
a0f610a64e4a   case2-edgeIoTDevSim-214   0.02%     52MiB / 500MiB        10.40%    2.33MB / 46.3kB   0B / 0B     21
7e6beed51d94   case2-edgeIoTDevSim-488   0.01%     48.07MiB / 500MiB     9.61%     2.32MB / 41kB     0B / 0B     21
0c69f8c53537   case2-edgeIoTDevSim-490   0.02%     50.08MiB / 500MiB     10.02%    2.33MB / 43.8kB   0B / 0B     21
d86c13ffbf6b   case2-edgeIoTDevSim-365   0.00%     48.22MiB / 500MiB     9.64%     2.33MB / 39.8kB   0B / 0B     21
8f2b6efdf367   case2-edgeIoTDevSim-455   0.01%     50.29MiB / 500MiB     10.06%    2.33MB / 44.1kB   0B / 0B     21
f20092908a5e   case2-edgeIoTDevSim-231   0.00%     50.16MiB / 500MiB     10.03%    2.33MB / 43.3kB   0B / 0B     21
