CONTAINER ID   NAME                     CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
f11a329a0698   edge_data_manager        1.57%     83.68MiB / 31.35GiB   0.26%     2.28MB / 28.3kB   0B / 0B     31
90ee72a2ae64   cloud_server             1.44%     81.73MiB / 31.35GiB   0.25%     2.28MB / 24.6kB   0B / 0B     31
50ba7dc11dae   case2-edgeIoTDevSim-16   0.07%     47.29MiB / 500MiB     9.46%     2.28MB / 25.5kB   0B / 0B     21
099dc77b5f03   case2-edgeIoTDevSim-13   0.00%     49.12MiB / 500MiB     9.82%     2.28MB / 27.1kB   0B / 0B     21
52c2ecb01b5d   case2-edgeIoTDevSim-14   0.00%     47.3MiB / 500MiB      9.46%     2.28MB / 20.2kB   0B / 0B     21
3bff345a11f6   case2-edgeIoTDevSim-2    0.00%     45.2MiB / 500MiB      9.04%     2.28MB / 29.3kB   0B / 0B     21
62bea3456b59   cloud_client             1.73%     51.65MiB / 31.35GiB   0.16%     2.28MB / 24.8kB   0B / 0B     21
c083b5fee907   case2-edgeIoTDevSim-12   0.00%     52.74MiB / 500MiB     10.55%    2.28MB / 27.7kB   0B / 0B     21
b5977a8d4e58   case2-edgeIoTDevSim-19   0.00%     44.84MiB / 500MiB     8.97%     2.28MB / 27.2kB   0B / 0B     21
73d17a7eebc4   cloud_broker             2.78%     63.2MiB / 31.35GiB    0.20%     2.28MB / 31.2kB   0B / 0B     21
f9a4baeb6bde   case2-edgeIoTDevSim-5    0.00%     47.09MiB / 500MiB     9.42%     2.28MB / 28.6kB   0B / 0B     21
9c306251bdd1   case2-edgeIoTDevSim-8    0.00%     45.08MiB / 500MiB     9.02%     2.28MB / 33.6kB   0B / 0B     21
44644de9f577   case2-edgeIoTDevSim-7    0.00%     46.87MiB / 500MiB     9.37%     2.28MB / 40.9kB   0B / 0B     21
f3b0bbfd9c79   edge_iot_smart_dev       0.08%     49.39MiB / 31.35GiB   0.15%     2.28MB / 31.1kB   0B / 0B     21
97bc9db69d5c   case2-edgeIoTDevSim-17   0.00%     44.92MiB / 500MiB     8.98%     2.28MB / 26.5kB   0B / 0B     21
49bb3c246bf5   edge_broker              6.32%     64.08MiB / 31.35GiB   0.20%     2.3MB / 53.9kB    0B / 0B     21
15af7b898f07   case2-edgeIoTDevSim-15   0.34%     48.86MiB / 500MiB     9.77%     2.28MB / 26.1kB   0B / 0B     21
