CONTAINER ID   NAME                    CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
0f3386e7898f   edge_data_manager       0.00%     83.9MiB / 31.35GiB    0.26%     2.28MB / 25.9kB   0B / 0B     31
14860dabeadf   cloud_server            0.00%     79.07MiB / 31.35GiB   0.25%     2.28MB / 27.6kB   0B / 0B     31
0cc1fc0bd48a   edge_broker             0.38%     89.51MiB / 31.35GiB   0.28%     2.28MB / 26.4kB   0B / 0B     21
a392d4103b5c   edge_subscriber         0.59%     47.09MiB / 31.35GiB   0.15%     2.28MB / 28.3kB   0B / 0B     21
c6eeb2078263   case2-edgeIoTDevSim-3   0.00%     49.03MiB / 500MiB     9.81%     2.28MB / 33.5kB   0B / 0B     21
d0e2693f863b   cloud_broker            0.00%     87.32MiB / 31.35GiB   0.27%     2.28MB / 24.9kB   0B / 0B     21
109267a395d5   case2-edgeIoTDevSim-2   0.00%     48.75MiB / 500MiB     9.75%     2.28MB / 27.4kB   0B / 0B     21
46d2f688c7d7   cloud_publisher         0.00%     48.81MiB / 31.35GiB   0.15%     2.28MB / 34.6kB   0B / 0B     21
f99f0d3b456b   case2-edgeIoTDevSim-5   0.00%     48.85MiB / 500MiB     9.77%     2.28MB / 30kB     0B / 0B     21
992826553bfe   case2-edgeIoTDevSim-1   0.00%     48.73MiB / 500MiB     9.75%     2.28MB / 27kB     0B / 0B     21
c32f6b732ad8   case2-mongodb-1         0.29%     72.44MiB / 31.35GiB   0.23%     2.72kB / 1.56kB   0B / 0B     38
6f8aa302ea3a   case2-edgeIoTDevSim-4   0.00%     46.83MiB / 500MiB     9.37%     2.28MB / 27.1kB   0B / 0B     21
87d0639770b3   edge_iot_smart_dev      0.08%     46.74MiB / 31.35GiB   0.15%     2.28MB / 39.9kB   0B / 0B     21
19e0f5b4545a   cloud_client            0.00%     66.48MiB / 31.35GiB   0.21%     2.28MB / 26.3kB   0B / 0B     21
CONTAINER ID   NAME                    CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
0f3386e7898f   edge_data_manager       0.26%     83.9MiB / 31.35GiB    0.26%     2.28MB / 26.2kB   0B / 0B     31
14860dabeadf   cloud_server            0.00%     79.12MiB / 31.35GiB   0.25%     2.28MB / 28kB     0B / 0B     31
0cc1fc0bd48a   edge_broker             0.08%     89.54MiB / 31.35GiB   0.28%     2.28MB / 27.2kB   0B / 0B     21
a392d4103b5c   edge_subscriber         0.00%     47.24MiB / 31.35GiB   0.15%     2.28MB / 28.5kB   0B / 0B     21
