CONTAINER ID   NAME                     CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
21e60efe0a83   edge_data_manager        0.05%     65.23MiB / 31.35GiB   0.20%     2.28MB / 29.2kB   0B / 0B     31
fa0c00202348   cloud_server             0.00%     68.27MiB / 31.35GiB   0.21%     2.28MB / 28.9kB   0B / 0B     31
e17354ce04f7   case2-edgeIoTDevSim-38   0.00%     47.23MiB / 500MiB     9.45%     2.28MB / 27.9kB   0B / 0B     21
351e2354ae22   case2-edgeIoTDevSim-10   0.00%     44.96MiB / 500MiB     8.99%     2.28MB / 27.4kB   0B / 0B     21
dfb1ce569f66   edge_broker              1.77%     69.25MiB / 31.35GiB   0.22%     2.32MB / 59kB     0B / 0B     21
f50c6f276682   case2-edgeIoTDevSim-40   0.00%     49.36MiB / 500MiB     9.87%     2.28MB / 29.6kB   0B / 0B     21
06954c691bb9   case2-edgeIoTDevSim-1    0.05%     49.3MiB / 500MiB      9.86%     2.28MB / 28.7kB   0B / 0B     21
886a7fe26417   case2-edgeIoTDevSim-39   0.04%     46.8MiB / 500MiB      9.36%     2.28MB / 30.1kB   0B / 0B     21
462702ba1aca   case2-edgeIoTDevSim-28   0.05%     45.09MiB / 500MiB     9.02%     2.28MB / 26.7kB   0B / 0B     21
d2877adc4ece   case2-edgeIoTDevSim-36   0.00%     47.33MiB / 500MiB     9.47%     2.28MB / 29.8kB   0B / 0B     21
c03601017c06   cloud_publisher          0.00%     48.89MiB / 31.35GiB   0.15%     2.28MB / 26.9kB   0B / 0B     21
892e155768d8   case2-edgeIoTDevSim-12   0.00%     44.89MiB / 500MiB     8.98%     2.28MB / 27.4kB   0B / 0B     21
72abf24b02a0   cloud_client             0.00%     49.79MiB / 31.35GiB   0.16%     2.28MB / 34.8kB   0B / 0B     21
c1f128d21fa2   case2-edgeIoTDevSim-27   0.00%     48.97MiB / 500MiB     9.79%     2.28MB / 27.9kB   0B / 0B     21
