CONTAINER ID   NAME                     CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
7e88f505be46   cloud_client             0.00%     49.57MiB / 31.35GiB   0.15%     2.28MB / 26.7kB   0B / 0B     21
48be0e4c8bc2   case2-edgeIoTDevSim-10   0.00%     45.02MiB / 500MiB     9.00%     2.28MB / 25.4kB   0B / 0B     21
9a497dab47a2   case2-edgeIoTDevSim-6    0.00%     44.84MiB / 500MiB     8.97%     2.28MB / 29.2kB   0B / 0B     21
1ceb45582594   case2-edgeIoTDevSim-1    0.00%     49.3MiB / 500MiB      9.86%     2.28MB / 27.6kB   0B / 0B     21
dd9be776cc1e   case2-edgeIoTDevSim-5    0.00%     47.09MiB / 500MiB     9.42%     2.28MB / 27.5kB   0B / 0B     21
e89b3394e316   case2-edgeIoTDevSim-9    0.07%     48.79MiB / 500MiB     9.76%     2.28MB / 26.3kB   0B / 0B     21
c9d0b05ec6e2   edge_broker              0.33%     64.63MiB / 31.35GiB   0.20%     2.29MB / 32.4kB   0B / 0B     21
ab4df2c66ea7   cloud_publisher          0.00%     46.86MiB / 31.35GiB   0.15%     2.28MB / 24.6kB   0B / 0B     21
faf377dfbef9   cloud_broker             0.00%     60.6MiB / 31.35GiB    0.19%     2.28MB / 25.6kB   0B / 0B     21
e5e09e8c1780   case2-edgeIoTDevSim-4    0.07%     44.81MiB / 500MiB     8.96%     2.28MB / 25.7kB   0B / 0B     21
84e56a769709   case2-mongodb-1          0.26%     73.7MiB / 31.35GiB    0.23%     5.88kB / 4.8kB    0B / 0B     39
ab95e721fd5b   case2-edgeIoTDevSim-8    0.07%     46.96MiB / 500MiB     9.39%     2.28MB / 27.1kB   0B / 0B     21
23bd8630a89b   edge_subscriber          0.17%     49.86MiB / 31.35GiB   0.16%     2.28MB / 28.3kB   0B / 0B     21
CONTAINER ID   NAME                     CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
a9bcf1248b2f   edge_data_manager        0.08%     65.96MiB / 31.35GiB   0.21%     2.28MB / 26.8kB   0B / 0B     31
90306ecf2c61   cloud_server             0.00%     67.94MiB / 31.35GiB   0.21%     2.28MB / 27.8kB   0B / 0B     31
7dec0ad70404   case2-edgeIoTDevSim-3    0.00%     46.98MiB / 500MiB     9.40%     2.28MB / 27.1kB   0B / 0B     21
241ae7d4d3f7   case2-edgeIoTDevSim-7    0.00%     47.5MiB / 500MiB      9.50%     2.28MB / 27.6kB   0B / 0B     21
689edfc69bdc   case2-edgeIoTDevSim-2    0.00%     45.22MiB / 500MiB     9.04%     2.28MB / 31.8kB   0B / 0B     21
11b4407dfcde   edge_iot_smart_dev       0.08%     45.39MiB / 31.35GiB   0.14%     2.28MB / 23.9kB   0B / 0B     21
7e88f505be46   cloud_client             0.00%     49.59MiB / 31.35GiB   0.15%     2.28MB / 27kB     0B / 0B     21
48be0e4c8bc2   case2-edgeIoTDevSim-10   0.00%     45.03MiB / 500MiB     9.01%     2.28MB / 25.6kB   0B / 0B     21
9a497dab47a2   case2-edgeIoTDevSim-6    0.05%     44.86MiB / 500MiB     8.97%     2.28MB / 29.4kB   0B / 0B     21
1ceb45582594   case2-edgeIoTDevSim-1    0.05%     49.31MiB / 500MiB     9.86%     2.28MB / 27.8kB   0B / 0B     21
dd9be776cc1e   case2-edgeIoTDevSim-5    0.05%     47.1MiB / 500MiB      9.42%     2.28MB / 27.7kB   0B / 0B     21
e89b3394e316   case2-edgeIoTDevSim-9    0.00%     48.79MiB / 500MiB     9.76%     2.28MB / 26.3kB   0B / 0B     21
c9d0b05ec6e2   edge_broker              0.35%     64.4MiB / 31.35GiB    0.20%     2.29MB / 33.3kB   0B / 0B     21
ab4df2c66ea7   cloud_publisher          0.00%     46.88MiB / 31.35GiB   0.15%     2.28MB / 24.8kB   0B / 0B     21
faf377dfbef9   cloud_broker             0.00%     60.62MiB / 31.35GiB   0.19%     2.28MB / 25.7kB   0B / 0B     21
e5e09e8c1780   case2-edgeIoTDevSim-4    0.00%     44.81MiB / 500MiB     8.96%     2.28MB / 25.7kB   0B / 0B     21
84e56a769709   case2-mongodb-1          0.32%     73.7MiB / 31.35GiB    0.23%     6.83kB / 6.11kB   0B / 0B     39
ab95e721fd5b   case2-edgeIoTDevSim-8    0.00%     46.96MiB / 500MiB     9.39%     2.28MB / 27.1kB   0B / 0B     21
23bd8630a89b   edge_subscriber          0.08%     49.96MiB / 31.35GiB   0.16%     2.29MB / 28.5kB   0B / 0B     21
CONTAINER ID   NAME                     CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
a9bcf1248b2f   edge_data_manager        0.00%     65.96MiB / 31.35GiB   0.21%     2.28MB / 26.8kB   0B / 0B     31
90306ecf2c61   cloud_server             0.06%     67.95MiB / 31.35GiB   0.21%     2.28MB / 28.1kB   0B / 0B     31
7dec0ad70404   case2-edgeIoTDevSim-3    0.00%     47MiB / 500MiB        9.40%     2.28MB / 27.3kB   0B / 0B     21
241ae7d4d3f7   case2-edgeIoTDevSim-7    0.00%     47.52MiB / 500MiB     9.50%     2.28MB / 27.8kB   0B / 0B     21
689edfc69bdc   case2-edgeIoTDevSim-2    0.04%     45.24MiB / 500MiB     9.05%     2.28MB / 32kB     0B / 0B     21
11b4407dfcde   edge_iot_smart_dev       0.08%     45.56MiB / 31.35GiB   0.14%     2.28MB / 23.9kB   0B / 0B     21
7e88f505be46   cloud_client             0.07%     49.6MiB / 31.35GiB    0.15%     2.28MB / 27.3kB   0B / 0B     21
48be0e4c8bc2   case2-edgeIoTDevSim-10   0.07%     45.3MiB / 500MiB      9.06%     2.28MB / 25.8kB   0B / 0B     21
9a497dab47a2   case2-edgeIoTDevSim-6    0.00%     44.86MiB / 500MiB     8.97%     2.28MB / 29.4kB   0B / 0B     21
1ceb45582594   case2-edgeIoTDevSim-1    0.00%     49.31MiB / 500MiB     9.86%     2.28MB / 27.8kB   0B / 0B     21
dd9be776cc1e   case2-edgeIoTDevSim-5    0.00%     47.1MiB / 500MiB      9.42%     2.28MB / 27.7kB   0B / 0B     21
e89b3394e316   case2-edgeIoTDevSim-9    0.00%     48.81MiB / 500MiB     9.76%     2.28MB / 26.5kB   0B / 0B     21
c9d0b05ec6e2   edge_broker              0.24%     64.24MiB / 31.35GiB   0.20%     2.29MB / 34.4kB   0B / 0B     21
ab4df2c66ea7   cloud_publisher          0.00%     46.89MiB / 31.35GiB   0.15%     2.28MB / 25kB     0B / 0B     21
faf377dfbef9   cloud_broker             0.00%     60.64MiB / 31.35GiB   0.19%     2.28MB / 25.7kB   0B / 0B     21
e5e09e8c1780   case2-edgeIoTDevSim-4    0.00%     44.82MiB / 500MiB     8.96%     2.28MB / 25.9kB   0B / 0B     21
84e56a769709   case2-mongodb-1          0.60%     73.82MiB / 31.35GiB   0.23%     7.46kB / 6.98kB   0B / 0B     39
ab95e721fd5b   case2-edgeIoTDevSim-8    0.00%     46.97MiB / 500MiB     9.39%     2.28MB / 27.3kB   0B / 0B     21
23bd8630a89b   edge_subscriber          0.00%     49.99MiB / 31.35GiB   0.16%     2.29MB / 28.6kB   0B / 0B     21
CONTAINER ID   NAME                     CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
a9bcf1248b2f   edge_data_manager        0.00%     65.97MiB / 31.35GiB   0.21%     2.28MB / 27.1kB   0B / 0B     31
90306ecf2c61   cloud_server             0.00%     67.95MiB / 31.35GiB   0.21%     2.28MB / 28.1kB   0B / 0B     31
7dec0ad70404   case2-edgeIoTDevSim-3    0.00%     47.02MiB / 500MiB     9.40%     2.28MB / 27.6kB   0B / 0B     21
241ae7d4d3f7   case2-edgeIoTDevSim-7    0.05%     47.54MiB / 500MiB     9.51%     2.28MB / 28kB     0B / 0B     21
689edfc69bdc   case2-edgeIoTDevSim-2    0.00%     45.24MiB / 500MiB     9.05%     2.28MB / 32kB     0B / 0B     21
11b4407dfcde   edge_iot_smart_dev       0.08%     45.73MiB / 31.35GiB   0.14%     2.28MB / 23.9kB   0B / 0B     21
7e88f505be46   cloud_client             0.00%     49.6MiB / 31.35GiB    0.15%     2.28MB / 27.3kB   0B / 0B     21
48be0e4c8bc2   case2-edgeIoTDevSim-10   0.00%     45.3MiB / 500MiB      9.06%     2.28MB / 25.8kB   0B / 0B     21
9a497dab47a2   case2-edgeIoTDevSim-6    0.00%     44.87MiB / 500MiB     8.97%     2.28MB / 29.6kB   0B / 0B     21
1ceb45582594   case2-edgeIoTDevSim-1    0.00%     49.33MiB / 500MiB     9.87%     2.28MB / 28kB     0B / 0B     21
dd9be776cc1e   case2-edgeIoTDevSim-5    0.00%     47.12MiB / 500MiB     9.42%     2.28MB / 27.9kB   0B / 0B     21
e89b3394e316   case2-edgeIoTDevSim-9    0.00%     49.08MiB / 500MiB     9.82%     2.28MB / 26.7kB   0B / 0B     21
c9d0b05ec6e2   edge_broker              0.20%     64.15MiB / 31.35GiB   0.20%     2.29MB / 36kB     0B / 0B     21
ab4df2c66ea7   cloud_publisher          0.05%     46.91MiB / 31.35GiB   0.15%     2.28MB / 25.2kB   0B / 0B     21
faf377dfbef9   cloud_broker             0.05%     60.65MiB / 31.35GiB   0.19%     2.28MB / 25.8kB   0B / 0B     21
e5e09e8c1780   case2-edgeIoTDevSim-4    0.00%     44.84MiB / 500MiB     8.97%     2.28MB / 26.1kB   0B / 0B     21
84e56a769709   case2-mongodb-1          0.28%     73.82MiB / 31.35GiB   0.23%     7.78kB / 7.42kB   0B / 0B     39
ab95e721fd5b   case2-edgeIoTDevSim-8    0.00%     46.99MiB / 500MiB     9.40%     2.28MB / 27.5kB   0B / 0B     21
23bd8630a89b   edge_subscriber          0.10%     50.15MiB / 31.35GiB   0.16%     2.29MB / 29kB     0B / 0B     21
CONTAINER ID   NAME                     CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
a9bcf1248b2f   edge_data_manager        0.00%     65.98MiB / 31.35GiB   0.21%     2.28MB / 27.4kB   0B / 0B     31
90306ecf2c61   cloud_server             0.00%     67.96MiB / 31.35GiB   0.21%     2.28MB / 28.4kB   0B / 0B     31
7dec0ad70404   case2-edgeIoTDevSim-3    0.04%     47.03MiB / 500MiB     9.41%     2.28MB / 27.8kB   0B / 0B     21
241ae7d4d3f7   case2-edgeIoTDevSim-7    0.00%     47.54MiB / 500MiB     9.51%     2.28MB / 28kB     0B / 0B     21
689edfc69bdc   case2-edgeIoTDevSim-2    0.00%     45.25MiB / 500MiB     9.05%     2.28MB / 32.2kB   0B / 0B     21
11b4407dfcde   edge_iot_smart_dev       0.09%     45.9MiB / 31.35GiB    0.14%     2.28MB / 23.9kB   0B / 0B     21
7e88f505be46   cloud_client             0.00%     49.61MiB / 31.35GiB   0.15%     2.28MB / 27.6kB   0B / 0B     21
48be0e4c8bc2   case2-edgeIoTDevSim-10   0.00%     45.32MiB / 500MiB     9.06%     2.28MB / 26kB     0B / 0B     21
9a497dab47a2   case2-edgeIoTDevSim-6    0.00%     44.89MiB / 500MiB     8.98%     2.28MB / 29.8kB   0B / 0B     21
1ceb45582594   case2-edgeIoTDevSim-1    0.00%     49.59MiB / 500MiB     9.92%     2.28MB / 28.2kB   0B / 0B     21
dd9be776cc1e   case2-edgeIoTDevSim-5    0.00%     47.13MiB / 500MiB     9.43%     2.28MB / 28.1kB   0B / 0B     21
e89b3394e316   case2-edgeIoTDevSim-9    0.00%     49.09MiB / 500MiB     9.82%     2.28MB / 26.9kB   0B / 0B     21
c9d0b05ec6e2   edge_broker              0.36%     64.93MiB / 31.35GiB   0.20%     2.3MB / 37.6kB    0B / 0B     21
ab4df2c66ea7   cloud_publisher          0.00%     46.91MiB / 31.35GiB   0.15%     2.28MB / 25.2kB   0B / 0B     21
faf377dfbef9   cloud_broker             0.00%     60.65MiB / 31.35GiB   0.19%     2.28MB / 25.8kB   0B / 0B     21
e5e09e8c1780   case2-edgeIoTDevSim-4    0.05%     44.86MiB / 500MiB     8.97%     2.28MB / 26.3kB   0B / 0B     21
84e56a769709   case2-mongodb-1          0.27%     73.82MiB / 31.35GiB   0.23%     8.79kB / 8.72kB   0B / 0B     39
ab95e721fd5b   case2-edgeIoTDevSim-8    0.05%     47MiB / 500MiB        9.40%     2.28MB / 27.7kB   0B / 0B     21
23bd8630a89b   edge_subscriber          0.00%     50.25MiB / 31.35GiB   0.16%     2.29MB / 29.3kB   0B / 0B     21
CONTAINER ID   NAME                     CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
a9bcf1248b2f   edge_data_manager        0.01%     67.39MiB / 31.35GiB   0.21%     2.32MB / 74.1kB   0B / 0B     31
90306ecf2c61   cloud_server             0.01%     68.81MiB / 31.35GiB   0.21%     2.29MB / 40.9kB   0B / 0B     31
7dec0ad70404   case2-edgeIoTDevSim-3    0.00%     47.03MiB / 500MiB     9.41%     2.28MB / 27.8kB   0B / 0B     21
