CONTAINER ID   NAME                    CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
0503032271dc   cloud_client            0.00%     51.8MiB / 31.35GiB    0.16%     2.27MB / 24.8kB   0B / 0B     21
18fecc499edf   case2-mongodb-1         0.31%     83.85MiB / 31.35GiB   0.26%     11.5kB / 9.91kB   0B / 0B     42
2a0f20d630c9   edge_iot_smart_dev      0.18%     47.44MiB / 31.35GiB   0.15%     2.28MB / 24.9kB   0B / 0B     21
ad1d0b384673   cloud_broker            0.00%     62.83MiB / 31.35GiB   0.20%     2.28MB / 26.2kB   0B / 0B     21
fb449baf4739   edge_subscriber         0.00%     45.43MiB / 31.35GiB   0.14%     2.28MB / 29.7kB   0B / 0B     21
CONTAINER ID   NAME                    CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
f634e221c4e3   edge_data_manager       0.08%     62.07MiB / 31.35GiB   0.19%     2.28MB / 28.1kB   0B / 0B     31
cf6b962b01fb   cloud_server            0.08%     63.98MiB / 31.35GiB   0.20%     2.28MB / 33.4kB   0B / 0B     31
19b616cbf682   case2-edgeIoTDevSim-1   0.00%     49.17MiB / 500MiB     9.83%     2.28MB / 29.6kB   0B / 0B     21
a32b57403b1a   cloud_publisher         0.05%     47.01MiB / 31.35GiB   0.15%     2.28MB / 34.4kB   0B / 0B     21
df12b5fb6d8c   edge_broker             0.07%     65.79MiB / 31.35GiB   0.20%     2.28MB / 32.4kB   0B / 0B     21
0503032271dc   cloud_client            0.00%     51.8MiB / 31.35GiB    0.16%     2.27MB / 24.8kB   0B / 0B     21
18fecc499edf   case2-mongodb-1         0.75%     83.93MiB / 31.35GiB   0.26%     13kB / 11.4kB     0B / 0B     42
2a0f20d630c9   edge_iot_smart_dev      0.20%     47.68MiB / 31.35GiB   0.15%     2.28MB / 24.9kB   0B / 0B     21
ad1d0b384673   cloud_broker            0.05%     62.85MiB / 31.35GiB   0.20%     2.28MB / 26.3kB   0B / 0B     21
fb449baf4739   edge_subscriber         0.00%     45.43MiB / 31.35GiB   0.14%     2.28MB / 29.7kB   0B / 0B     21
CONTAINER ID   NAME                    CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
f634e221c4e3   edge_data_manager       0.00%     62.07MiB / 31.35GiB   0.19%     2.28MB / 28.1kB   0B / 0B     31
